[Tue Jul 22 11:02:15.212435 2014] [:error] [pid 2088:tid 1732] [client 127.0.0.1:50312] script 'D:/itbs/nb163/try/show_all_users.php' not found or unable to stat, referer: http://nb163.com/register.php
[Wed Jul 23 16:18:23.361078 2014] [core:error] [pid 5312:tid 1740] [client 125.62.106.168:26125] AH00135: Invalid method in request \xfdh\xa4i\xdd\xe4
[Wed Jul 23 17:00:24.193261 2014] [core:error] [pid 5312:tid 1740] [client 121.54.58.129:52291] AH00126: Invalid URI in request \x7f(\xd3=4\x86\x11\xef\xe1\xe0`\x1c\xdez\xec\xcf\xd9v\x17\x8e4\xa9\xbc\x9e\xfc\xc0,\x9cr\xca\x95\xb7\xcc\x86\x9af\xaf\xa8;\xaf\xa0\xc2\x90;nw&M\x91\xc1\xe5\xf3
[Wed Jul 23 17:32:57.751998 2014] [core:error] [pid 5312:tid 1740] [client 115.112.131.147:22351] AH00135: Invalid method in request \xd0,\x1c\xad\x97\xfc\xfa\x11\xce\xe3\x07\xd8o\xd7\xc9\x05\x02\x18h\xbd\x83\xfd}\x03\x92\xd7\x99\xc3\x93\x83l>\xf5\xf6\x90\xf9\xea\xf9o\x81\x19\xf3\xa9O\xa2To@\xa7\x81c
[Fri Jul 25 10:21:56.531931 2014] [:error] [pid 2468:tid 1688] [client 127.0.0.1:49401] script 'D:/itbs/nb163/try/edit_user.php' not found or unable to stat, referer: http://nb163.com/show_all_users.php
[Fri Jul 25 17:40:18.156839 2014] [core:error] [pid 8076:tid 1668] [client 211.24.172.122:25787] AH00135: Invalid method in request \x81F\x81+6\x18\x18
[Fri Jul 25 18:52:03.561094 2014] [core:error] [pid 8076:tid 1668] [client 113.168.220.179:10970] AH00135: Invalid method in request 3\x96\xef\xfe\xa8\xefs\xa5eW\xfaY\x85+\x95;.O\xb6>C\xcf
[Sat Jul 26 01:44:31.804613 2014] [authz_core:error] [pid 8076:tid 1676] [client 222.239.78.246:39386] AH01630: client denied by server configuration: D:/itbs/nb163/try/phpMyAdmin
[Sat Jul 26 01:44:32.749667 2014] [authz_core:error] [pid 8076:tid 1684] [client 222.239.78.246:39446] AH01630: client denied by server configuration: C:/xamppv2/phpMyAdmin/scripts
[Sat Jul 26 01:44:33.450707 2014] [authz_core:error] [pid 8076:tid 1696] [client 222.239.78.246:39488] AH01630: client denied by server configuration: D:/itbs/nb163/try/phpMyAdmin
[Sat Jul 26 01:44:33.539712 2014] [authz_core:error] [pid 8076:tid 1636] [client 222.239.78.246:39498] AH01630: client denied by server configuration: D:/itbs/nb163/try/phpmyadmin1
[Sat Jul 26 01:44:34.259753 2014] [authz_core:error] [pid 8076:tid 1668] [client 222.239.78.246:39550] AH01630: client denied by server configuration: C:/xamppv2/phpMyAdmin/scripts
[Sat Jul 26 01:44:34.359759 2014] [authz_core:error] [pid 8076:tid 1660] [client 222.239.78.246:39548] AH01630: client denied by server configuration: D:/itbs/nb163/try/phpmyadmin2
[Sat Jul 26 01:44:34.899790 2014] [authz_core:error] [pid 8076:tid 1676] [client 222.239.78.246:39589] AH01630: client denied by server configuration: D:/itbs/nb163/try/phpmyadmin1
[Sat Jul 26 01:44:35.749838 2014] [authz_core:error] [pid 8076:tid 1648] [client 222.239.78.246:39631] AH01630: client denied by server configuration: D:/itbs/nb163/try/phpmyadmin2
[Sat Jul 26 01:44:37.118917 2014] [authz_core:error] [pid 8076:tid 1660] [client 222.239.78.246:39721] AH01630: client denied by server configuration: D:/itbs/nb163/try/xampp
[Sat Jul 26 01:44:37.898961 2014] [authz_core:error] [pid 8076:tid 1652] [client 222.239.78.246:39769] AH01630: client denied by server configuration: D:/itbs/nb163/try/xampp
